testId,1,2,3,timeSpent,uid
88388,,1,50,16,babe4bfcd7f162b4262c
88464,,2,2,16,8e3d50fb71a2249f361d
88510,2,,43,47,91f4795c84001507c96d
88536,1,,80,64,255e35cc514299dd3211
88619,,1,40,45,80508c33173184d00f2b
88644,2,,50,9,8e3d50fb71a2249f361d
88675,1,,3,16,227503c6a70626eb5c8c
88776,,2,8,19,38e1e7d8d7176e026298
88868,2,,30,29,82b8ab009b9c36c588c7
88932,2,,10,16,8aaee28c4968ec09d98d
88965,,2,6,24,2a289b54e6b2398df4e4
89127,,1,35,12,5c387d2992f60f1d180a
89193,2,,30,23,6a02739ee1ad61437c4e
89240,2,,20,28,a7bd2c6976d57c07d3dd
89241,2,,30,37,b3737721710f2a55ef56
89433,,1,15,15,e034633e1dbcc7d4102c
89512,2,,50,15,ebb29965aad80a5bdc2b
89516,2,,30,41,518cce37a2cf1ee9d629
89542,,1,55,25,518cce37a2cf1ee9d629
89540,2,,50,17,f1c49e7f054189e99e77
89700,,2,10,43,cb14bb1f3b0f262a9ba5
89885,2,,40,35,9c29358d2348d2fd8d10
89893,1,,82,18,8300d3f8321da9952973
89956,,2,6,10,1a575954af377cbdce78
90242,,2,,11,570308a2bdd9421c3afb
90322,,1,20,19,baadd8a7d3694fa80487
90361,,1,50,11,22b6a8f4b8480bf535fd
90408,,1,20,8,50b2b2382bc59e25fa7e
90409,1,,200,44,eb794c3c253277196d55
90444,2,,0,43,facdc78b7c8defc9cfed
90490,2,,8,30,1a575954af377cbdce78
90665,2,,30,19,77756ea4186dd08f4d9c
90678,,1,15,10,a4449af1f98f0b4e0b74
90688,,1,15,16,70725b9de99117c87316
90714,,1,20,25,dbb80f895699863fd37d
90727,2,,40,13,e034633e1dbcc7d4102c
90733,,2,5,17,880410e5e5472a37795a
90800,,2,5,20,b65fbd1d4f7a69cc20be
90864,,1,45,24,0d5fd29bf27f40459dc8
90886,,1,50,54,34d30988e565a32f49ea
91083,2,,25,11,39d98864ced2c5bf87c6
91159,2,,55,15,118d41dfc68b1cc209ee
91179,2,,58,12,3fc65081536cb18fc932
91226,,1,30,21,a27fe7c72ab8ca271a1a
91333,2,,50,43,10fdbd7277dc95d14cbf
91336,,1,50,59,104f229b81b345389cb5
91363,,1,20,14,05b38fe1427b350bc758
91378,1,,54,22,bad7ab195649abb00040
91386,2,,20,14,6bc77ca4018975e9ec09
91519,,1,20,19,d815361c5f7ac1cd8ecd
91563,2,,30,20,30d1b7320a2c7cd7e140
76893,,,,1775,14fc8690a5502ba387e2
91658,,1,14,22,39e05bd17adcbc6c38ba
77229,,,,12,8b1b7f204a0f052dfd2c
77360,,,,8,fe4ccf133d2e5818095f
91991,,1,17,33,41cc486133beebb0e3b7
92045,2,,48,13,3bdd3bd92e778a1d7359
92234,2,,20,14,a61c8c7efbbf31ec28f7
92283,,1,54,28,fafc7fce16d7eadf1f35
78063,,,,2,a9da76bd52699c746cc8
92432,,1,40,13,eb8161a2ee33ebdfddac
78745,,,,33,be559ea9ebc681ac40a4
78920,,,,9,fa391b4d9af496988eff
79287,,,,4,dd33cceeae3cafcf821b
92516,2,,50,57,309c40c333d18730d4be
80982,,1,37,20,3211e2c3a03fb65b534e
81570,,,,11,a838f58ac2b163a98ca8
92582,,2,8,9,a06ae2c9001bad16f8ae
92594,2,,30,20,64a8df9c0933b6f66315
92628,,2,8,21,fb7a9271948e118df91e
92880,2,,20,41,7bcdf83a6a099d838217
92898,2,,12,36,b002a1d60b034b68e824
92906,2,,,14,77bb67e9401f2d998930
93164,,1,23,12,7c6f7226a36118c1386f
93228,,1,23,17,ccb39571b470ba151f89
88048,,,,2,e3f59e38fc4c0e45a7ed
93328,,1,22,14,7819c62745aaa836fd01
88602,2,,35,63,4c54ccd86602bbf665a2
93485,2,,47,19,1a7e8d4f0eef8153441d
93765,,1,,33,c1728d3f202a432c6622
94050,2,,40,13,4b01565bc0d34dee0599
92593,,,,10,64a8df9c0933b6f66315
94143,2,,54,12,c1ac0ed215b6fa467e5d
94273,2,,23,32,828373f6aa756eade306
93228,,,,2,ccb39571b470ba151f89
94587,,1,38,25,238d8f63c5ee484e098e
94595,,2,5,23,95962c681dbacca6fba3
94616,2,,35,21,0275a1095be0205214cb
93841,,,,10,f1f72222b70185454a31
94736,,1,15,15,a431645af92a0ab1a3bc
94764,2,,30,11,49b7be982327bc38e80c
94873,1,,80,59,c8a3b77d04b65a09a3cb
95022,2,,55,35,428cb0c0dadd4a0b157b
95163,2,,20,21,ad6b10507d6574d54d0f
95177,1,,67,16,92a7ceb932412f19462a
95188,,1,30,47,4b60afbbe662a0a48455
95289,2,,0,28,d7d865fc36fe5265f25a
