testId,1,2,timeSpent,uid
86766,,1,20,c53e31707e98625cf105
86810,2,,21,504d26dea6cfcc759653
86854,,1,21,bdcf485de4f3797532b4
87296,,1,29,a4bbf04397ebeda101b1
87389,,1,9,bcfcdd061d9c59181fab
87459,1,,18,a6db26aa0013053c8e46
87540,1,,23,037c0e55cd69e9f67cf4
87786,2,,28,127a2f8bfa5f443d73ef
87796,,2,21,e24d4d97d1d159f71aff
88014,,2,62,e3f59e38fc4c0e45a7ed
88018,2,,34,b18dfd86956b4ed925e8
88193,1,,5,991bc0da362e0d7e5bfa
88201,,2,33,2866635bae5f52ac69ee
88236,1,,31,62e00bede96cd71f1afd
88267,,1,17,7846aca7245c1cb1b891
88283,1,,18,ea7f949a6b3ac9676e7e
88324,1,,30,5f6a17ad4a50647dee44
88342,,2,34,c0164d1f255d2d42fb6c
88510,1,,35,91f4795c84001507c96d
88536,,2,29,255e35cc514299dd3211
88573,,2,33,f49e786c2a7651bb90bc
88619,,1,66,80508c33173184d00f2b
88644,,1,32,8e3d50fb71a2249f361d
88675,1,,16,227503c6a70626eb5c8c
88868,1,,79,82b8ab009b9c36c588c7
88932,,1,46,8aaee28c4968ec09d98d
88965,1,,65,2a289b54e6b2398df4e4
89127,2,,46,5c387d2992f60f1d180a
89193,2,,39,6a02739ee1ad61437c4e
89240,2,,53,a7bd2c6976d57c07d3dd
89241,,1,99,b3737721710f2a55ef56
89433,,2,48,e034633e1dbcc7d4102c
76150,,,11,2852b97a2aa9e351397d
89512,1,,13,ebb29965aad80a5bdc2b
89516,1,,39,518cce37a2cf1ee9d629
89540,1,,14,f1c49e7f054189e99e77
89542,1,,14,518cce37a2cf1ee9d629
89700,1,,60,cb14bb1f3b0f262a9ba5
89885,1,,40,9c29358d2348d2fd8d10
89893,,2,18,8300d3f8321da9952973
89956,,2,13,1a575954af377cbdce78
90242,,,26,570308a2bdd9421c3afb
90322,,1,23,baadd8a7d3694fa80487
90361,1,,5,22b6a8f4b8480bf535fd
90408,,1,8,50b2b2382bc59e25fa7e
90409,2,,33,eb794c3c253277196d55
90444,,2,38,facdc78b7c8defc9cfed
90490,,1,71,1a575954af377cbdce78
90665,2,,36,77756ea4186dd08f4d9c
90678,,2,60,a4449af1f98f0b4e0b74
90688,,2,39,70725b9de99117c87316
90714,2,,78,dbb80f895699863fd37d
90727,,2,9,e034633e1dbcc7d4102c
90733,,1,38,880410e5e5472a37795a
90800,,2,33,b65fbd1d4f7a69cc20be
90864,2,,43,0d5fd29bf27f40459dc8
90886,1,,36,34d30988e565a32f49ea
91083,2,,6,39d98864ced2c5bf87c6
91159,,2,30,118d41dfc68b1cc209ee
91179,,2,43,3fc65081536cb18fc932
91226,,1,26,a27fe7c72ab8ca271a1a
91336,1,,42,104f229b81b345389cb5
91333,2,,108,10fdbd7277dc95d14cbf
91363,,2,23,05b38fe1427b350bc758
91378,,1,12,bad7ab195649abb00040
91386,1,,28,6bc77ca4018975e9ec09
76713,,,121,22b6a8f4b8480bf535fd
91519,1,,59,d815361c5f7ac1cd8ecd
91563,1,,26,30d1b7320a2c7cd7e140
91658,1,,99,39e05bd17adcbc6c38ba
92045,,1,23,3bdd3bd92e778a1d7359
92165,2,,40,fd6913d3ef5ff1f8d2cd
92206,,2,24,b2966addb1910400da1c
92282,1,,39,4c19bad1c2b2a94e7f25
92283,1,,22,fafc7fce16d7eadf1f35
77863,,,5,1bec5f3a45b3b6a4a543
92432,1,,16,eb8161a2ee33ebdfddac
80638,,,7,8ebc27f80af1f58d04b7
80672,,,2,7a3a265840ec40983393
92516,,1,75,309c40c333d18730d4be
92537,2,,34,a2b48697fe822aafb39a
92582,2,,4,a06ae2c9001bad16f8ae
92594,,2,42,64a8df9c0933b6f66315
82938,,,4,fb337a1b396f40794d67
92628,1,,43,fb7a9271948e118df91e
83897,,2,54,55f6bc53bdd9d9b8aa64
92880,,1,62,7bcdf83a6a099d838217
92898,,2,54,b002a1d60b034b68e824
92906,,2,26,77bb67e9401f2d998930
85061,,,0,b66b76fccda689d080df
85961,,,1,3f08240d0019069c4463
93164,,2,19,7c6f7226a36118c1386f
93228,2,,22,ccb39571b470ba151f89
93328,,2,45,7819c62745aaa836fd01
88464,,,7,8e3d50fb71a2249f361d
93485,,1,50,1a7e8d4f0eef8153441d
90281,,,8,570308a2bdd9421c3afb
93765,1,,48,c1728d3f202a432c6622
93765,1,,12,c1728d3f202a432c6622
91565,,,9,30d1b7320a2c7cd7e140
94050,2,,47,4b01565bc0d34dee0599
92574,,,5,534dbea4c8c2e5346150
94143,,2,35,c1ac0ed215b6fa467e5d
94273,1,,101,828373f6aa756eade306
94587,1,,27,238d8f63c5ee484e098e
94595,,1,83,95962c681dbacca6fba3
94616,,2,24,0275a1095be0205214cb
94736,1,,23,a431645af92a0ab1a3bc
94764,,2,42,49b7be982327bc38e80c
94873,1,,49,c8a3b77d04b65a09a3cb
95022,,1,36,428cb0c0dadd4a0b157b
94088,,,22,e37244c5134026dde96b
95177,,1,23,92a7ceb932412f19462a
95188,1,,44,4b60afbbe662a0a48455
95193,,2,30,4b60afbbe662a0a48455
95280,1,,137,23e74d408cb30d79b1f5
94495,1,,29,e1fbc3593ec21c28d852
