testId,1,2,3,timeSpent,uid,ineligible
77113,1,,450,15,e8db074432b497daff91,0
77118,,1,1600,13,ac9ce46f28578a9e74a8,0
77143,,1,2000,17,61ff56b129b8a62574bf,0
77130,,1,2000,29,c051ed1b4358c2704fd9,0
77154,,1,1500,13,c051ed1b4358c2704fd9,1
77164,1,,380,37,527d91320bf4b7460b28,0
77202,,1,1500,28,8b1b7f204a0f052dfd2c,0
77214,1,,300,31,90c9b8e5da32189b9da7,0
77243,,1,2000,13,fe4ccf133d2e5818095f,0
77266,1,,125,21,1a1d896fa3c2fc05aa28,0
77283,1,,127,16,036cd22afeffb079ab3c,1
77297,2,,60,9,ac253ffc84d829de35b3,0
77349,,2,380,193,527d91320bf4b7460b28,1
77407,,2,100,16,0c77107ed457ce58e270,0
77459,1,,100,32,bb69f019dce25366f0a7,0
77463,,1,5000,72,58461bb326d4686e277a,0
77506,,2,100,26,a0d120402dd2f4043057,0
77561,,2,380,30,c5794340c46e1daff9ee,0
77596,1,,300,20,b6ef2d069b7616510f12,0
77606,,2,400,12,111b872ebede0068c320,0
77623,2,,20,15,14fc8690a5502ba387e2,1
77678,,2,700,33,955814bc3b50bebc57b9,0
77684,2,,80,21,2bb35ea2939bc63c0820,0
77691,1,,400,27,e1d4e0b9d6be2f01ba67,0
77714,,2,50,9,2bb35ea2939bc63c0820,1
77742,,2,400,9,e1d4e0b9d6be2f01ba67,1
77863,1,,121,41,1bec5f3a45b3b6a4a543,0
77891,1,,600,28,95a78560a485003d8871,0
77882,,2,376,13,7c8bdbe267c267e97022,1
78035,1,,95,25,3871f6cebab7cfe1efa1,0
78063,,2,250,19,a9da76bd52699c746cc8,0
78218,1,,100,20,7478db76107de9a6d173,0
78315,,2,200,53,6f32f626f5df65839620,0
78335,1,,326,13,712d3415fc8dec7ad66f,0
78477,,1,6000,16,047053a479df7a748ab2,0
78511,1,,86,48,5870f03a14ce993206b2,0
78492,2,,100,17,64ee3492757e64b0ca28,1
78672,,2,350,62,daeb8a598a6537688002,0
78755,1,,200,15,be559ea9ebc681ac40a4,0
78741,,2,626,39,712d3415fc8dec7ad66f,1
78819,,2,500,37,8cafbc172fb1ad1f8b91,0
78858,1,,85,15,5870f03a14ce993206b2,1
78885,1,,86,8,5870f03a14ce993206b2,1
78920,,1,2500,105,fa391b4d9af496988eff,0
79081,,2,750,24,f456722d91f66e641751,0
79200,1,,,26,b63008ea9c39ef7c7a0f,1
79485,1,,300,11,0c67c10dc767bbf2241d,0
79521,1,,120,43,7705be00367b46c0ce1c,0
79691,1,,150,50,2c4890db386c704cd6b4,0
79919,,2,883,25,77a1aa3e4014b5c16165,0
80182,1,,379.7,44,878f94c55f062dfc3127,0
80160,1,,90,12,07832632bb41452a59cb,0
80192,1,,86,8,5870f03a14ce993206b2,1
80260,1,,160,27,5ec2b303f7c0e48886cb,0
80239,,1,1005,17,1ead1e80e8bc293a8bf8,0
80318,1,,100,55,3ae9a0e4d745775598dd,0
80452,,1,1001,7,6ba03fd26901dc198ffa,0
80441,1,,125,96,218f0bed8a8f7c7af4d4,0
80524,,1,1200,25,464c043903703ec2049a,0
80609,1,,110,62,2acb9c4edc705b2081e6,0
80611,,2,250,27,9c455bcd89ddd633ff80,0
80915,,1,125,17,218f0bed8a8f7c7af4d4,1
80918,,2,300,49,0a4d12396aeb0b3e249e,0
81108,,1,1500,20,8f79010285881a32b631,0
81357,,1,2000,14,899d7c9602f51f80eadc,0
81639,,2,300,76,922b97c22a4042616ef8,0
81802,1,,100,20,36e9b2042f2cf6f4d3e8,0
81861,,2,300,72,61a739bfa5100d02985e,0
81920,,2,300,13,36e9b2042f2cf6f4d3e8,1
82071,1,,175,39,47818b7fb11fbe92ce42,0
82120,,2,1000,26,782a4b1b604b8691d383,1
82173,,2,215,19,6e04781b96c79313bb76,0
82550,1,,400,14,8f950808729e43e7dfa4,0
82620,,1,4000,35,179125af67c1abc80851,0
82663,,1,1700,38,a7ef326e776411f35592,0
82670,1,,86,7,a26a8f0da71a14cfc922,0
82681,,1,2300,18,6af46aac8c125094feb3,0
82781,1,,400,35,4d94c745b9c69b4f8d5e,0
82815,1,,200,12,2c5f3016caa1a9a978af,0
82912,1,,300,13,b2e9673476827cd3cb36,0
83010,1,,100,16,0ae59414803d83c6fb1f,0
83027,,2,800,23,e1144a59d74ed78d37fc,0
